at,al,an,re,er_mean,er_median,er_mode,er_q1,er_q3,in_mean,in_median,in_mode,in_q1,in_q3,ti_mean,ti_median,ti_mode,ti_q1,ti_q3,on_mean,on_median,on_mode,on_q1,on_q3,es_mean,es_median,es_mode,es_q1,es_q3,te_mean,te_median,te_mode,te_q1,te_q3,en_mean,en_median,en_mode,en_q1,en_q3,is_mean,is_median,is_mode,is_q1,is_q3,ic_mean,ic_median,ic_mode,ic_q1,ic_q3,ri_mean,ri_median,ri_mode,ri_q1,ri_q3,ra_mean,ra_median,ra_mode,ra_q1,ra_q3
"[-3040380928.0, 656578816.0, 175235456.0, 89206610.28571428, 528437385.0474428]","[119719936.0, 350955008.0, 192700928.0, 199721384.58536586, 55501644.119326055]","[112180992.0, 601883136.0, 195392128.0, 209729842.08695653, 73981222.59652315]","[-952614144.0, 388236032.0, 188801024.0, 151785657.72549018, 207373218.18257844]",122875136.0,367158784.0,192282112.0,197411680.6037736,45264126.254805356,173145856.0,389212928.0,239650048.0,241355715.4408602,31607047.64150732,-43306061056.0,257586176.0,175528960.0,-1605056737.28,8513522654.02119,170050048.0,645098752.0,222802816.0,236826548.36363637,72431500.59536977,-7797000960.0,662717952.0,254521984.0,-59382761.4117647,1456402304.5769215,-2418341888.0,616988928.0,234456064.0,172256812.8,421613566.8172652,106564096.0,698324992.0,224446720.0,242653093.6470588,99087379.84343693,-16176046080.0,622963968.0,205009024.0,-486234412.5217391,2681481716.032413,-28480734976.0,381138944.0,202680064.0,-2231978192.0,7012086170.512623,-34361601024.0,302365952.0,210297088.0,-1696842417.2307692,6748324826.917098,-10517993984.0,313395968.0,211683584.0,-1542903146.6666667,3192003730.6226306
"[139338240.0, 261955072.0, 174991872.0, 189628928.0, 37918892.84074029]","[155354880.0, 369645056.0, 195456000.0, 217968782.2222222, 61017990.578756206]","[125317120.0, 931296000.0, 192115456.0, 233699123.2, 163958969.98099023]","[155688960.0, 372433920.0, 200030208.0, 208543497.4814815, 41385347.10641468]",133152768.0,283303936.0,186856960.0,194893383.68,33004519.3746764,183262976.0,299533056.0,237144960.0,240463624.0,31359346.319618843,-8493529088.0,256845824.0,149542144.0,-1464414003.2,2983808203.520867,189341952.0,256018176.0,211056512.0,215158570.66666666,20065105.053066254,-550374144.0,407126016.0,265103872.0,181526135.46666667,271163225.97813505,147340032.0,458984960.0,221211904.0,253761815.27272728,83223732.86702326,131853056.0,238223104.0,201961472.0,199061760.0,28847165.92290397,-4214448128.0,1008037888.0,212486016.0,4346240.0,1040062960.5911796,204132096.0,309027072.0,261780992.0,258313386.66666666,42893334.467187054,-9572251136.0,256169984.0,220044032.0,-1904037997.7142856,3597669541.6412296,254519040.0,323196928.0,288857984.0,288857984.0,34338944.0
"[167747072.0, 320029952.0, 275592960.0, 273346192.0, 37146266.76109716]","[95232000.0, 319911936.0, 160187136.0, 175827549.0909091, 64259458.83873962]","[111986176.0, 239488000.0, 175976960.0, 170092113.92, 32843268.124424055]","[182909184.0, 424051200.0, 207931520.0, 219287808.0, 58219996.99933997]",168016128.0,248564992.0,199254016.0,198778282.66666666,19006898.52734036,119620096.0,208081920.0,167990784.0,169673363.3939394,21157287.512804553,-335920128.0,432387072.0,159744000.0,155126988.8,154443730.92536905,136331008.0,311975168.0,184207872.0,192408184.47058824,40295818.59543304,192001792.0,360596992.0,231429504.0,231545884.44444445,35073007.204341814,207451904.0,240072960.0,211836032.0,218981376.0,13346497.00708257,112068864.0,400009984.0,175633920.0,190946748.63157895,77810132.75950232,88012032.0,271465984.0,152002816.0,157864826.4347826,42067687.503267124,128236800.0,400321024.0,152779008.0,192378112.0,88208458.57579847,-12735666944.0,264529920.0,175627008.0,-1104044569.6,3877360693.423531,248058880.0,488144896.0,263929088.0,305504409.6,91677005.76711291
"[231809024.0, 631761152.0, 279869312.0, 298812800.0, 89768007.51662602]","[200175104.0, 200175104.0, 200175104.0, 200175104.0, 200175104.0]","[119997952.0, 319982080.0, 160066048.0, 178637568.0, 58764463.51107903]","[183648000.0, 240108800.0, 215236864.0, 211284406.85714287, 15983165.788170964]",183880960.0,216361984.0,191916800.0,197772706.9090909,11908187.34609118,134267904.0,344059136.0,187680512.0,191650403.55555555,47935912.87243337,127991040.0,327817984.0,192365056.0,197092790.85714287,61934975.14802022,135872000.0,328389120.0,167762944.0,193800647.1111111,65316829.31242399,191219200.0,255485184.0,215956992.0,217023078.4,22396950.338306345,199858944.0,247889920.0,231792896.0,226932935.1111111,13393473.916473903,111900928.0,191646976.0,151952896.0,154089355.63636363,22848876.60498469,104011008.0,239076096.0,191590016.0,183887616.0,37888792.06748288,119474176.0,207779840.0,127947008.0,151733674.66666666,39781291.305952325,151351040.0,232043008.0,201848576.0,196772800.0,35740758.08963072,239649024.0,800252928.0,291777024.0,405864000.0,230849023.4804348
"[-119853056.0, 1040193024.0, 279473920.0, 362996260.5714286, 336306604.1088806]","[113243136.0, 232347904.0, 179755392.0, 173129760.0, 39367322.60687038]","[136621056.0, 248436992.0, 160040960.0, 179212192.0, 38702311.80879116]","[191426816.0, 224711168.0, 207857920.0, 207834002.2857143, 13055792.458976293]",151257088.0,423946240.0,214650112.0,232015067.42857143,82560636.56146787,127822080.0,208003072.0,173425920.0,170289544.53333333,23199285.632734947,143540992.0,213564928.0,167060992.0,174722304.0,29095929.605405085,152699136.0,216232960.0,190956416.0,188766165.33333334,19271857.71163782,199774976.0,232769024.0,216272000.0,216272000.0,16497024.0,208008192.0,296208896.0,261767168.0,257014067.2,29240839.04845987,112052992.0,248302848.0,175909888.0,179438518.85714287,32817748.52270463,151421952.0,399779840.0,191561984.0,218022306.9090909,75224572.8061061,176669952.0,176669952.0,176669952.0,176669952.0,176669952.0,175855104.0,190461952.0,184174080.0,183497045.33333334,5982406.654999716,295195904.0,295195904.0,295195904.0,295195904.0,295195904.0
"[184619008.0, 672359936.0, 255907072.0, 278808757.3333333, 94481745.03333962]","[170902016.0, 443543040.0, 189757952.0, 280217804.8, 121829048.36214218]","[156544000.0, 256169984.0, 189882880.0, 191852946.2857143, 26458628.0854583]","[177075200.0, 279632896.0, 202192384.0, 211290240.0, 27616417.906434387]",-11899394048.0,315578880.0,207920128.0,-606775619.3684211,2772975399.219992,194609152.0,408793088.0,238396160.0,245833240.77419356,42425958.30245749,-9675844864.0,151021056.0,-7593171456.0,-6722468684.8,3250995543.165825,194764032.0,303811072.0,257840896.0,255912192.0,32845816.038019847,251435008.0,348154880.0,283589888.0,285597732.5714286,30474525.08574134,144467968.0,399155968.0,254425088.0,260908409.2631579,60027597.09166709,152604928.0,282377984.0,172461440.0,191514784.0,41354896.27904411,-2066931968.0,262754048.0,176341504.0,-187479808.0,759701411.3369925,187320064.0,304255232.0,233844608.0,238267392.0,34446078.55563398,-4980141824.0,179283968.0,-2400428928.0,-2400428928.0,2579712896.0,-6415668992.0,-603719936.0,-3136046080.0,-3338386464.0,1813093635.9726818
"[164685056.0, 1045542912.0, 260031104.0, 288329173.3333333, 164899789.67620212]","[167243776.0, 393487104.0, 196075776.0, 242542899.2, 84699960.62251478]","[144462080.0, 426583040.0, 180366848.0, 209611636.36363637, 78610970.91833639]","[71483904.0, 379958784.0, 222841856.0, 224473972.36363637, 90157341.02314435]",-9284087808.0,522984960.0,209179008.0,-399417472.0,2075608677.6888595,181959936.0,326493952.0,242333568.0,240347818.66666666,35011295.90693868,-12696634112.0,-306529792.0,-2916534528.0,-3922554592.0,3615372766.829873,186746112.0,384738048.0,266349568.0,270345536.0,59508699.69489893,145190144.0,409144064.0,279873024.0,282432568.8888889,69111934.73572373,151507968.0,455537920.0,255847552.0,263652014.54545453,77019063.2313229,164190976.0,385850112.0,215904000.0,230756693.33333334,61040168.07783424,-6610416128.0,278298880.0,173094912.0,-1126860357.8181818,2429739236.8101497,196036096.0,551010816.0,241202432.0,307362944.0,142923090.40229905,-11365913088.0,-423360000.0,-6417876992.0,-6502214809.6,3639578156.5046334,-11841975040.0,-798053888.0,-3518074112.0,-4415788185.6,3664774962.9567366
"[-422503936.0, 1015956992.0, 260986880.0, 263041587.2, 209840274.21872106]","[144221952.0, 276347904.0, 155494912.0, 182889920.0, 54339090.710269935]","[116045056.0, 297989888.0, 180693888.0, 191461427.2, 48496689.755487986]","[145652992.0, 333105152.0, 228227072.0, 230466611.2, 53938559.667032026]",127880960.0,291759104.0,219568000.0,219311897.6,41816190.84207621,178648064.0,815246848.0,228253184.0,246857289.14285713,101334403.03335223,-9698838784.0,136483072.0,-4212585600.0,-4606919072.0,3496635860.2484493,220477184.0,284419840.0,247132928.0,252132681.14285713,22250647.83668248,221786880.0,459322112.0,255372032.0,285225691.4285714,76224193.92270772,111369984.0,431398144.0,276953600.0,279208366.54545456,75028820.47389075,163599872.0,613800192.0,196846848.0,237580856.8888889,136081059.8867027,-5273508864.0,252423936.0,159863040.0,-1317827214.2222223,2167552257.321891,213563136.0,308591104.0,225857024.0,249337088.0,42198449.65268533,-3393746944.0,-1591180800.0,-3128665088.0,-2638180198.4,743420624.0781549,-10682646016.0,240353024.0,-1944425472.0,-2658767680.0,3016510384.681304
"[135287040.0, 976445952.0, 302732800.0, 412811613.09090906, 272835805.1686076]","[95461888.0, 463368192.0, 196089344.0, 200719539.2, 75016202.47987477]","[120638976.0, 1175956992.0, 188188032.0, 312114352.0, 278901038.1051178]","[-825236992.0, 757378816.0, 252449024.0, 220954419.2, 306873267.85243475]",63087104.0,343371008.0,242150528.0,240172811.63636363,47857097.09747814,196647168.0,1661377024.0,227766016.0,292464476.16,280891592.67654353,-48178366208.0,333021952.0,-6908342400.0,-12047728224.0,14209084168.079403,217664000.0,261278976.0,238840960.0,236584576.0,13659203.511340769,266123008.0,340090112.0,280597504.0,291852032.0,29730065.226037566,159931904.0,326470144.0,255722880.0,253996512.0,42665504.09645863,164083200.0,211750144.0,172876416.0,183443251.2,17342097.591518994,139815936.0,541992960.0,225224960.0,237811683.55555555,112150955.11038348,163694848.0,404802048.0,251003008.0,267625728.0,93052979.56667292,-5649579008.0,378757888.0,-1535536896.0,-1789150361.6,2080954260.6585226,283465984.0,618462976.0,386471168.0,429466709.3333333,140100460.6063611
"[125142784.0, 257612032.0, 157982208.0, 173773653.33333334, 44505499.13017553]","[83588096.0, 303780096.0, 147915008.0, 161565542.4, 57460497.1916141]","[148566016.0, 544434944.0, 167372032.0, 209543330.9090909, 110073059.94912006]","[235910912.0, 312184064.0, 256312064.0, 261122422.15384614, 18111845.101904135]",220827136.0,266611968.0,240444160.0,240342874.3529412,10544471.862248518,199676928.0,625149952.0,231741952.0,252527669.33333334,84102193.29651521,-5704878848.0,230096896.0,-215399040.0,-1778690304.0,2396613632.487727,189850112.0,284134912.0,216936960.0,226542876.44444445,27153883.777474742,259411968.0,327990016.0,287279104.0,291560362.6666667,28160066.864276174,163383040.0,462114048.0,266572032.0,273105943.27272725,79125755.99103512,159677952.0,209540096.0,189381120.0,189330176.0,16345942.268903384,119184128.0,221980928.0,197168128.0,192129450.66666666,27578220.988766044,139842048.0,178321920.0,150750592.0,154916288.0,14845122.798059706,-11880850944.0,300224000.0,-1573634176.0,-3849548160.0,4680322457.858348,264665088.0,2458010112.0,309120896.0,658569770.6666666,805096062.209801
